"","UUID","Binomial","hwi","range_size","diet","mean_adult_body_mass_g","BodySize","LifeSpan","mean_longevity_y","TrophicLevel"
"160","7fe10b94-0351-4c63-a335-20041b78a3d1","Actitis_macularius",47.4805593,1450,"invertebrates",41.85833333,0.00406391585728155,12,12,3
"161","7b06b6dc-50cd-4615-be0e-a5b826613145","Vireo_huttoni",17.07827039,185,"invertebrates",11.3,0.00109708737864078,13.5,6.5,3
"162","3c9d3ded-5bb9-4d74-8384-4d383b6200a4","Tringa_solitaria",49.7225619,1310,"invertebrates",48.5,0.00470873786407767,NA,NA,3
"163","4ac22846-00a0-422f-948f-26bcc6178814","Spizella_breweri",20.48082069,341,"omnivore",10.9,0.00105825242718447,6.2,5.2,2
"164","1962f8b5-f008-4c6c-91ba-a75e26dc2526","Meleagris_gallopavo",25.98130925,557,"omnivore",5811,0.564174757281553,13,12.75,2
"165","3f1ebd06-1730-4b3b-a03e-e58e2cd09a63","Melanerpes_carolinus",28.77274166,290,"omnivore",71.775,0.00696844660194175,20.7,12.1,2
"166","5ff81e27-8a95-478b-8988-1fb8ab8b8861","Loxia_leucoptera",35.73758478,1766,"omnivore",29.8,0.00289320388349515,4,4,2
"167","f46b4b47-756d-42e9-b816-95d95f275301","Larus_canus",60.7418203,1993,"vertebrates",415.75,0.0403640776699029,33.7,27.91833333,3
"168","a5585cbe-7435-426d-b8dc-10a87e62b289","Icterus_spurius",26.87028848,474,"invertebrates",20.05,0.00194660194174757,10.91666667,9.6,3
"169","29ceb0fe-b9e5-4c93-9f0e-d6fa50aea71b","Hydroprogne_caspia",66.22319893,1577,"vertebrates",654.6666667,0.0635598705533981,30,29.79166667,3
"170","6e876b66-74d9-4f13-9184-caf473b527e0","Gallinago_delicata",46.49180106,NA,NA,116,0.0112621359223301,18.2,10.81666667,NA
"171","0c3aaf8c-36d0-4f5b-a7b3-fa7f7e42edce","Falcipennis_canadensis",34.84891707,762,"plants",456,0.0442718446601942,13,13,1
"172","10bd78fd-99c5-411a-938c-92ca2e5da480","Empidonax_minimus",22.81592337,601,"invertebrates",10.275,0.000997572815533981,8,8,3
"173","e54de488-9a51-49a5-afb9-6795a449dfc6","Colaptes_auratus",26.10895043,1522,"invertebrates",130.6716667,0.0126865695825243,12.5,9.183333333,3
"174","dfc95f73-1532-4493-9693-134a9087d95c","Chondestes_grammacus",28.84790552,593,"seeds",28.52475,0.0027693932038835,7.833333333,7.8,1
"175","f541153b-95f6-4ad4-908f-0702a3bd2d0c","Chaetura_vauxi",69.1572611,924,"invertebrates",18.225,0.00176941747572816,5.1,5.091666667,3
