"","binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y"
"298","Haematortyx_sanguiniceps",20.24484545,"omnivore",300,NA,NA
"299","Rollulus_rouloul",22.23854356,"omnivore",224.5,NA,NA
"300","Bambusicola_fytchii",18.45143021,"omnivore",340.25,NA,NA
"301","Bambusicola_thoracicus",23.84584669,"plants",271,NA,NA
"302","Galloperdix_spadicea",19.00925926,"fruit",369,NA,NA
"303","Galloperdix_lunulata",18.32249084,"omnivore",262.75,NA,NA
"304","Galloperdix_bicalcarata",16.93427386,"omnivore",319,NA,NA
"305","Ithaginis_cruentus",25.16632103,"plants",525,NA,NA
"306","Tragopan_melanocephalus",21.75880152,"plants",1812.5,NA,NA
"307","Tragopan_satyra",22.23255792,"plants",1662.5,NA,NA
"308","Tragopan_blythii",16.21340118,"fruit",1930,NA,NA
"309","Tragopan_temminckii",19.14003588,"plants",1404.5,NA,NA
"310","Tragopan_caboti",15.90920445,"omnivore",1250,NA,NA
"311","Pucrasia_macrolopha",28.8286769,"omnivore",1177.5,NA,NA
"312","Lophophorus_impejanus",21.09188816,"omnivore",2077.75,NA,NA
"313","Lophophorus_sclateri",26.96784959,"omnivore",2348.25,NA,NA
"314","Lophophorus_lhuysii",26.31556072,"plants",3008,NA,NA
"315","Gallus_gallus",23.21714883,"omnivore",912.5,30,30
"316","Gallus_sonneratii",21.2538904,"omnivore",855.5,NA,NA
"317","Gallus_lafayetii",20.42484239,"omnivore",766.5,NA,NA
"318","Gallus_varius",20.65508386,"omnivore",781.25,NA,NA
"319","Lophura_leucomelanos",17.7587268,"omnivore",1180,NA,NA
"320","Lophura_nycthemera",19.5035027,"omnivore",1250,NA,NA
"321","Lophura_edwardsi",19.41058131,"omnivore",1082.5,NA,NA
"322","Lophura_swinhoii",24.89447211,"omnivore",1100,NA,NA
"323","Lophura_hoogerwerfi",19.46361391,"omnivore",NA,NA,NA
"324","Lophura_inornata",23.04863007,"omnivore",685,NA,NA
"325","Lophura_erythrophthalma",22.22326445,"omnivore",1043,NA,NA
"326","Lophura_ignita",17.39674841,"omnivore",2155,NA,NA
"327","Lophura_diardi",25.75735222,"omnivore",843.75,NA,NA
"328","Lophura_bulweri",14.63113256,"invertebrates",1625,NA,NA
"329","Crossoptilon_crossoptilon",15.77047248,"plants",1962.5,NA,NA
"330","Crossoptilon_harmani",15.22668042,"plants",1962.5,NA,NA
"331","Crossoptilon_mantchuricum",18.45683412,"plants",1962.5,NA,NA
"332","Crossoptilon_auritum",15.74072288,"plants",1785,NA,NA
"333","Catreus_wallichi",21.1160809,"plants",NA,NA,NA
"334","Syrmaticus_ellioti",29.9910595,"omnivore",1156,NA,NA
"335","Syrmaticus_humiae",29.70873634,"omnivore",1048.75,NA,NA
"336","Syrmaticus_mikado",23.71417031,"omnivore",1250,NA,NA
"337","Syrmaticus_soemmerringii",29.7349901,"omnivore",907,NA,NA
"338","Syrmaticus_reevesii",20.63541347,"seeds",1239,9.2,9.2
"339","Phasianus_colchicus",22.90655636,"omnivore",1043.75,27,27
"340","Phasianus_versicolor",26.6277323,"omnivore",1000,27,27
"341","Chrysolophus_pictus",21.24625849,"plants",633.75,13.4,13.4
"342","Chrysolophus_amherstiae",17.30419164,"plants",714,19.6,19.6
"343","Polyplectron_chalcurum",15.8556408,"omnivore",507.75,NA,NA
"344","Polyplectron_inopinatum",16.552817,"invertebrates",NA,NA,NA
"345","Polyplectron_katsumatae",17.55509048,"fruit",685,NA,NA
"346","Polyplectron_germaini",20.99424345,"invertebrates",510,NA,NA
"347","Polyplectron_bicalcaratum",19.62885613,"fruit",685,NA,NA
"348","Polyplectron_malacense",20.21477659,"omnivore",630.5,NA,NA
"349","Polyplectron_schleiermacheri",13.67560383,"invertebrates",NA,NA,NA
"350","Polyplectron_napoleonis",18.66010213,"invertebrates",436,15,15
"351","Rheinardia_ocellata",11.52642331,"omnivore",NA,NA,NA
"352","Argusianus_argus",7.962997403,"fruit",2280.5,NA,NA
"353","Pavo_cristatus",28.71360931,"omnivore",4093.75,25,23.2
"354","Pavo_muticus",21.95827416,"invertebrates",4256.25,8,8
"355","Afropavo_congensis",10.09227248,"invertebrates",1149.25,NA,NA
"356","Anhima_cornuta",32.84520899,"plants",3125,NA,NA
"357","Chauna_chavaria",34.79820877,"plants",2603.5,NA,NA
"358","Chauna_torquata",35.29093042,"plants",3450,NA,NA
"359","Anseranas_semipalmata",34.90074134,"plants",2071,32,29.5
